text,label
"Free entry to win prize. Text YES to 12345.",spam
"Can you call me when you're free?",ham
"URGENT! You have won a free vacation.",spam
"Hey, how's it going?",ham
"Get discount now! Click the link:",spam
"I'll be there in 10 minutes.",ham
"CONGRATULATIONS! Claim your free gift now!",spam
"What's your favorite movie?",ham
"ATTENTION: You have won a new car!",spam
"I'm running late, sorry about that.",ham
"Special offer ends tonight! Act now!",spam
"Did you finish the report?",ham
"Earn extra cash from home today!",spam
"I'll pick up some groceries on my way home.",ham
"LAST CHANCE to get your free trial!",spam
"What do you want to do for dinner?",ham
"Free Xbox with your purchase! Call now!",spam
"I had a great time last night!",ham
"WINNER! Claim your $1000 prize here:",spam
"I'm stuck in traffic, I'll be a little late.",ham
"Discount on all products today only!",spam
"Have you seen the new movie yet?",ham
"URGENT: Your account is expiring soon.",spam
"I'll be home around 6pm.",ham
"Get rich quick! Invest in our program!",spam
"What's your favorite book?",ham
"FINAL NOTICE: Your subscription is ending.",spam
"I'm so excited for our trip!",ham
"Make money from home with this simple trick!",spam
"What's the weather like today?",ham
"LIMITED TIME OFFER! Order now and save!",spam
"I love spending time with you.",ham
"CONGRATULATIONS! You are today's lucky winner!",spam
"I'm heading to the gym now.",ham
"ALERT: Your package has been shipped!",spam
"What's your favorite food?",ham
"BONUS OFFER! Buy one, get one free!",spam
"I had a really productive day at work.",ham
"LAST CHANCE to claim your free gift!",spam
"What are your plans for the weekend?",ham
"URGENT NOTICE: Your account has been hacked!",spam
"I'll be there in about 30 minutes.",ham
"FREE TRIAL: No credit card required!",spam
"Did you see the game last night?",ham
"CONGRATULATIONS! You have won a free vacation!",spam
"I'm running a few minutes behind.",ham
"DISCOUNT ALERT! Save big today only!",spam
"I just got home from the store.",ham
